3.2.3.3.1	NPAC SMS shall allow NPAC personnel to create a new LNP NPA NXX for a Service Provider.
5.1.2.2.7.38.1.1.1	NPAC SMS shall receive the following data from NPAC personnel to identify a subscription version that contains a Failed SP List with one or more SPIDS, to be resent: Ported Telephone Number or Subscription Version ID
5.1.2.2.7.38.1.2.1	NPAC SMS shall require NPAC personnel to specify a TN Range (NPA-NXX-xxxx through yyyy, where yyyy is greater than xxxx) to identify multiple subscription versions that contain a Failed SP List with one or more SPIDS, to be resent.
5.1.2.2.7.38.2.1	NPAC SMS shall require the following input data from NPAC personnel upon a Subscription Version resend: •	List of “failed” Local SMSs to resend to.
5.1.2.2.7.38.3.1	NPAC SMS shall send an error message to the originating user upon Subscription Version resend if the version does not have a list of failed LSMSs associated with the subscription’s last operation.
5.1.2.2.7.38.4.1	NPAC SMS shall resend a Subscription Version activation request, if the Subscription Version previously failed activation, to the designated list of failed Local SMSs via the NPAC SMS to Local SMS Interface upon a Subscription Version resend request.
5.1.2.2.7.38.5.1	NPAC SMS shall resend a Subscription Version disconnect request, if the Subscription Version previously failed disconnect, to the designated list of failed Local SMSs via the NPAC SMS to Local SMS Interface upon a Subscription Version resend request.
5.1.2.2.7.38.6.1	NPAC SMS shall set a failed or partial failure Subscription Version to sending subsequent to resending to the Local SMSs via the NPAC SMS to Local SMS Interface.
5.1.2.2.7.38.7.1	NPAC SMS shall proceed with the standard activation processing subsequent to resending a Subscription Version activation request to the Local SMSs via the NPAC SMS to Local SMS Interface.
5.1.2.2.7.38.8.1	NPAC SMS shall proceed with the standard disconnect processing subsequent to resending a Subscription Version disconnect request to the Local SMSs via the NPAC SMS to Local SMS Interface.
5.1.2.2.7.38.9.1	NPAC SMS shall resend a Subscription Version modify active request, if an active Subscription Version previously failed modification, to the designated list of failed Local SMSs via the NPAC SMS to Local SMS Interface upon a Subscription Version resend request.
5.1.2.2.7.38.10.1	NPAC SMS shall proceed with the standard modify active processing subsequent to resending a Subscription Version modify request to the Local SMSs via the NPAC SMS to Local SMS Interface.
5.1.2.2.7.71.1	NPAC SMS shall prevent NPAC Personnel from re-sending a Subscription Version with LNP Type of POOL, via the NPAC Administrative Interface.  (Previously SV-451)
5.1.2.2.7.72.1	NPAC SMS shall re-send Subscription Versions to a discrepant non-EDR Local SMS via the NPAC SMS to Local SMS Interface, when a re-send request is initiated to a Block.  (Previously SV-452)
5.1.2.2.7.73.1	NPAC SMS shall update the status of the failed Subscription Versions with LNP Type of POOL in the 1K Block, at the start of the re-send to the Local SMSs, from a failed status to a sending status.  (Previously SV-460)
5.1.2.2.7.74.1	NPAC SMS shall update the status of the partial failure Subscription Versions with LNP Type of POOL in the 1K Block, at the start of the re-send to the Local SMSs, from a partial failure status to a sending status.  (Previously SV-470)
5.1.2.2.7.75.1	NPAC SMS shall update the status of the active Subscription Version with LNP Type of POOL in the 1K Block, with a Failed SP List, at the start of the re-send to the Local SMSs, from an active status to a sending status.  (Previously SV-480)
5.1.2.2.7.76.1	NPAC SMS shall update the status of the old Subscription Version with LNP Type of POOL in the 1K Block, with a Failed SP List, at the start of the re-send to the Local SMSs, from an old status to a sending status.  (Previously SV-490)
5.1.2.2.7.77.1	NPAC SMS shall update the Subscription Version Failed SP List of the Subscription Version(s) with LNP Type of POOL in the 1K Block, by removing the previously failed Local SMS, upon a successful re-send to a previously failed Local SMS.  (Previously SV-510)
5.1.2.2.7.78.1	NPAC SMS shall update the status of the Subscription Version(s) and the Block, specified in the re-send request for a Block Creation, Modification, or Deletion, at the completion of the re-send to the Local SMS, and a response from the Local SMS or if retries have been exhausted, from a sending status, as defined in RR3-137.1, RR3-137.2 RR3-137.3, and RR3-137.4.  (Previously SV-515)
5.1.2.2.7.79.1	NPAC SMS shall update the Subscription Version Failed SP List of the Subscription Version(s) with LNP Type of POOL in the 1K Block, specified in the re-send request for a Block Creation, Modification, or Deletion, at the completion of the re-send to the Local SMS, and a response from the Local SMS, or if retries have been exhausted, as defined in RR3-138.1 and RR3-138.2.  (Previously SV-516)
5.1.2.2.7.80.1	NPAC SMS shall examine a Service Provider's EDR Indicator, at the time of re-send, to determine the message to re-send, for a disconnect or a Port-To-Original Subscription Version of a ported pooled TN, where the TN is contained within a Pooled 1K Block.  (Previously SV-518)
5.1.2.2.7.81.1.1	NPAC SMS shall, for a re-send of a disconnect Subscription Version of a ported pooled TN, where the TN is contained within a Pooled 1K Block, re-broadcast the Delete request of the Subscription Version that was active prior to the disconnect broadcast to a discrepant EDR Local SMS.  (Previously SV-519.1)
5.1.2.2.7.81.2.1	NPAC SMS shall, for a re-send of a disconnect Subscription Version of a ported pooled TN, where the TN is contained within a Pooled 1K Block, re-broadcast the Create request of the Subscription Version that was created to restore default routing to a discrepant non-EDR Local SMS.  (Previously SV-519.2)
5.1.2.2.7.82.1.1	NPAC SMS shall, for a re-send of a Port-To-Original Subscription Version of a ported pooled TN, where the TN is contained within a Pooled 1K Block, re-broadcast the Delete request of the Subscription Version that was active prior to the Port-To-Original broadcast to a discrepant EDR Local SMS.  (Previously SV-520.1)
5.1.2.2.7.82.2.1	NPAC SMS shall, for a re-send of a Port-To-Original Subscription Version of a ported pooled TN, where the TN is contained within a Pooled 1K Block, re-broadcast the Create request of the Subscription Version that was created to restore default routing, and shall NOT re-broadcast the Delete request of the Subscription Version that was active prior to the Port-To-Original broadcast to a discrepant non-EDR Local SMS.  (Previously SV-520.2)
5.1.3.1.72.1	NPAC SMS shall allow NPAC personnel, SOA to NPAC SMS interface users, and NPAC SMS to Local SMS interface users to query data maintained by the NPAC SMS for a Subscription and all its Versions.
5.1.3.2.73.1	NPAC SMS shall receive the following data to identify a Subscription Version to be queried: Ported Telephone Numbers and status (optional) or Subscription Version ID
5.1.3.2.74.1.1	NPAC SMS shall only retrieve Subscription Versions with a specific status when the user supplies a specific Subscription Version status as part of the query criteria.
5.1.3.2.74.2.1	NPAC SMS shall return all Subscription Versions associated with a ported TN that the requester is eligible to view if the originating user has not provided a Subscription Version status as part of the query criteria.
5.1.3.2.74.3.1	NPAC SMS shall return the following output data for a Subscription Version query request initiated by NPAC personnel or a SOA to NPAC SMS interface user: •	Subscription Version ID •	Subscription Version Status •	Local Number Portability Type •	Ported Telephone Number •	Old facilities based Service Provider Due Date •	New facilities based Service Provider Due Date •	New facilities based Service Provider ID •	Old facilities based Service Provider ID •	Authorization from old facilities based Service Provider •	Status Change Cause Code •	Location Routing Number (LRN) •	Class DPC •	Class SSN •	LIDB DPC •	LIDB SSN •	CNAM DPC •	CNAM SSN •	ISVM DPC •	ISVM SSN •	WSMSC DPC (for SOAs that support WSMSC data) •	WSMSC SSN (for SOAs that support WSMSC data) •	Billing Service Provider ID •	End User Location Value •	End User Location  •	Customer Disconnect Date •	Effective Release Date •	Disconnect Complete Time Stamp •	Conflict Time Stamp •	Broadcast Time Stamp •	Activation Time Stamp •	Cancellation Time Stamp (Status Modified to Canceled Time Stamp) •	New Service Provider Creation Time Stamp •	Old Service Provider Authorization Time Stamp •	Pre-cancellation Status •	Old Service Provider Cancellation Time Stamp •	New Service Provider Cancellation Time Stamp •	Old Time Stamp (Status Modified to Old Time Stamp) •	New Service Provider Conflict Resolution Time Stamp •	Old Service Provider Conflict Resolution Time Stamp •	Create Time Stamp •	Modified Time Stamp •	Porting to Original •	Download Reason •	Timer Type (for SOAs that support Timer Type) •	Business Hours Type (for SOAs that support Business Hours) •	List of all Local SMSs that failed activation, modification, or disconnect.
5.1.3.2.74.4.1	NPAC SMS shall return the following output data for a Subscription Version query request initiated over the NPAC SMS to Local SMS interface: •	Subscription Version ID •	Ported Telephone Number •	Location Routing Number (LRN) •	New facilities-based Service Provider ID •	Activation Time Stamp •	Customer Disconnect Date •	Class DPC •	Class SSN •	LIDB DPC •	LIDB SSN  •	CNAM DPC •	CNAM SSN •	ISVM DPC •	ISVM SSN •	WSMSC DPC (for Local SMSs that support WSMSC data) •	WSMSC SSN (for Local SMSs that support WSMSC data) •	End-User Location Value •	End-User Location Type •	Billing Service Provider ID •	Local Number Portability Type
